tas,date, Country, ISO3, ISO2
23.2787,1971-9,KEN,,
23.821,1971-10,KEN,,
24.5648,1971-11,KEN,,
24.2608,1971-12,KEN,,
24.7045,1972-1,KEN,,
24.9247,1972-2,KEN,,
25.8839,1972-3,KEN,,
26.1835,1972-4,KEN,,
24.8456,1972-5,KEN,,
23.6909,1972-6,KEN,,
22.9968,1972-7,KEN,,
23.5907,1972-8,KEN,,
24.2599,1972-9,KEN,,
25.2158,1972-10,KEN,,
24.646,1972-11,KEN,,
25.2018,1972-12,KEN,,
25.4071,1973-1,KEN,,
26.2642,1973-2,KEN,,
26.9617,1973-3,KEN,,
26.7477,1973-4,KEN,,
24.9758,1973-5,KEN,,
